"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"44","RT @kavita_krishnan: Senior advocate in SC, @governorswaraj tweeted defending marital rape + hinting that Ram Rahim was being punished for…",FALSE,0,NA,2017-08-29 13:52:45,FALSE,NA,"902529457889480704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CSiddarth4",63,TRUE,FALSE,NA,NA
"45","RT @IndianExpress: #BREAKING | Dera Sacha Sauda chief Ram Rahim sentenced to 10 years of imprisonment
https://t.co/1PbPNpOpuC",FALSE,0,NA,2017-08-29 13:52:41,FALSE,NA,"902529441607311360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinay_nagle",67,TRUE,FALSE,NA,NA
"46","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:52:28,FALSE,NA,"902529386074693637",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mspallaviyadav",17,TRUE,FALSE,NA,NA
"47","RT @Sachin0072002: @madhukishwar @RatanSharda55 RSS n their supporters are still finding ways to justify Ram rahim the rapist.Shame on them.",FALSE,0,NA,2017-08-29 13:52:27,FALSE,NA,"902529380924014592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Babligupta47",2,TRUE,FALSE,NA,NA
"48","My remarks on Ram Rahim were misquoted: Sakshi Maharaj
https://t.co/74Y5LOPgog

If that's what you meant, why added..who is right 1 or 1000s",FALSE,0,NA,2017-08-29 13:52:22,FALSE,NA,"902529360690782208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IshaSG",0,FALSE,FALSE,NA,NA
"49","RT @cnni: Controversial Indian spiritual guru Gurmeet Ram Rahim Singh sentenced to 20 years in prison for raping two followers https://t.co…",FALSE,0,NA,2017-08-29 13:52:21,FALSE,NA,"902529358283157505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","azarraga_felina",74,TRUE,FALSE,NA,NA
"50","Dera violence: How BJP funded &amp; promoted the monster called Ram Rahim Singh https://t.co/Afe1GZ7hd0, see more https://t.co/i1yW4O3E0C",FALSE,0,NA,2017-08-29 13:52:21,FALSE,NA,"902529357540982784",NA,"<a href=""http://tweetedtimes.com"" rel=""nofollow"">TtwTimes Top News</a>","TT_Yahoo",0,FALSE,FALSE,NA,NA
"51","RT @ikpsgill1: A perfect job for Baba Ram Rahim in jail is of a gardener as he can use lawn mower on himself too. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,NA,2017-08-29 13:52:20,FALSE,NA,"902529353807888384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shirazsgh",10,TRUE,FALSE,NA,NA
"52","Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for vot… https://t.co/awo7otIRSV",FALSE,0,NA,2017-08-29 13:52:17,FALSE,NA,"902529341510340609",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","IndiaFirstAlway",0,FALSE,FALSE,NA,NA
"53","RT @malviyamit: Perspective piece on why Congress &amp; media' opportunistic demonization &amp; distancing from dera followers is worrisome. https:…",FALSE,0,NA,2017-08-29 13:52:14,FALSE,NA,"902529327211757569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aditya_limaye",53,TRUE,FALSE,NA,NA
